Main_Source_of_Income,Education_Expenditure,Household_Head_Sex,Household_Head_Age,Total_members_employed
Wage/Salaries,0,Male,42,1
Wage/Salaries,710,Male,37,3
Enterpreneurial Activities,1980,Male,43,0
Wage/Salaries,1280,Male,34,1
Other sources of Income,7900,Female,39,0
Enterpreneurial Activities,0,Male,59,1
Enterpreneurial Activities,1400,Female,62,0
Wage/Salaries,1250,Male,70,2
Other sources of Income,37330,Female,62,3
Wage/Salaries,8425,Female,80,4
Wage/Salaries,45630,Male,49,5
Enterpreneurial Activities,3590,Male,44,0
Wage/Salaries,15760,Male,50,1
Other sources of Income,0,Male,81,0
Other sources of Income,0,Male,78,0
Wage/Salaries,15750,Male,41,2
Wage/Salaries,4140,Male,38,2
Other sources of Income,0,Male,81,1
Other sources of Income,1730,Male,33,1
Wage/Salaries,2030,Male,39,2
Enterpreneurial Activities,0,Male,56,1
Wage/Salaries,1620,Male,38,1
Wage/Salaries,2870,Male,42,2
Wage/Salaries,1890,Male,41,1
Wage/Salaries,480,Female,59,2
Other sources of Income,1720,Female,53,1
Other sources of Income,0,Female,72,0
Wage/Salaries,740,Male,63,3
Enterpreneurial Activities,2190,Male,38,1
Wage/Salaries,0,Male,32,1
Wage/Salaries,29350,Male,51,1
Other sources of Income,0,Female,78,0
Wage/Salaries,1850,Male,52,2
Wage/Salaries,0,Male,67,5
Enterpreneurial Activities,825,Male,44,1
Wage/Salaries,936,Female,53,1
Wage/Salaries,2250,Female,48,4
Wage/Salaries,1350,Male,50,2
Other sources of Income,1770,Female,60,0
Wage/Salaries,699,Male,45,1
Wage/Salaries,100,Male,48,5
Enterpreneurial Activities,750,Male,42,0
Wage/Salaries,1300,Male,40,1
Other sources of Income,11499,Male,58,0
Wage/Salaries,0,Male,48,2
Wage/Salaries,1569,Male,62,2
Wage/Salaries,6400,Male,44,2
Other sources of Income,0,Male,69,0
Wage/Salaries,470,Male,42,2
Other sources of Income,0,Female,80,1
Wage/Salaries,100,Male,37,1
Wage/Salaries,440,Male,60,1
Wage/Salaries,0,Male,59,3
Wage/Salaries,170,Male,60,6
Wage/Salaries,7700,Male,49,1
Wage/Salaries,0,Male,21,1
Enterpreneurial Activities,0,Female,74,0
Enterpreneurial Activities,0,Male,72,1
Wage/Salaries,0,Male,63,3
Wage/Salaries,370,Male,58,4
Other sources of Income,0,Female,85,1
Wage/Salaries,1000,Male,52,4
Other sources of Income,960,Male,76,0
Wage/Salaries,850,Male,61,3
Wage/Salaries,820,Male,46,4
Wage/Salaries,16310,Male,51,2
Other sources of Income,1570,Female,64,1
Wage/Salaries,1968,Male,63,1
Wage/Salaries,17469,Male,42,1
Wage/Salaries,0,Male,62,3
Enterpreneurial Activities,0,Male,42,0
Other sources of Income,11412,Male,38,1
Other sources of Income,0,Male,30,1
Wage/Salaries,4550,Male,68,3
Other sources of Income,31650,Female,58,1
Wage/Salaries,1059,Male,69,2
Wage/Salaries,3668,Male,50,1
Wage/Salaries,0,Female,54,2
Wage/Salaries,24680,Male,70,3
Wage/Salaries,700,Female,77,1
Wage/Salaries,0,Male,51,1
Wage/Salaries,0,Male,63,1
Wage/Salaries,530,Male,65,4
Other sources of Income,30602,Female,37,1
Wage/Salaries,0,Male,42,1
Wage/Salaries,21310,Male,47,2
Wage/Salaries,0,Female,67,2
Wage/Salaries,0,Male,31,1
Wage/Salaries,0,Male,32,2
Wage/Salaries,0,Male,25,1
Other sources of Income,0,Male,67,0
Enterpreneurial Activities,0,Female,50,1
Wage/Salaries,7850,Male,57,6
Other sources of Income,20860,Female,37,1
Other sources of Income,25240,Female,38,1
Wage/Salaries,18250,Male,39,2
Other sources of Income,35260,Male,67,0
Wage/Salaries,101300,Male,59,2
Wage/Salaries,1920,Male,37,2
Other sources of Income,0,Female,58,0
Other sources of Income,10467,Female,63,0
Other sources of Income,0,Male,63,2
Wage/Salaries,50250,Male,39,2
Wage/Salaries,13300,Male,61,2
Wage/Salaries,0,Male,70,3
Wage/Salaries,898,Female,57,3
Wage/Salaries,37600,Male,59,3
Wage/Salaries,0,Male,49,1
Other sources of Income,45850,Female,39,2
Wage/Salaries,11600,Male,40,2
Enterpreneurial Activities,739,Male,45,2
Wage/Salaries,2640,Male,35,1
Wage/Salaries,1710,Male,53,3
Wage/Salaries,1508,Male,54,2
Wage/Salaries,0,Female,62,1
Wage/Salaries,0,Female,59,1
Wage/Salaries,13950,Male,44,1
Wage/Salaries,0,Male,56,3
Wage/Salaries,2398,Male,39,1
Wage/Salaries,20000,Male,51,4
Wage/Salaries,0,Male,72,4
Other sources of Income,0,Female,64,0
Enterpreneurial Activities,12400,Male,48,1
Other sources of Income,0,Female,73,1
Wage/Salaries,0,Male,73,1
Enterpreneurial Activities,0,Male,42,3
Enterpreneurial Activities,8500,Male,46,1
Wage/Salaries,0,Female,70,1
Wage/Salaries,2940,Male,52,2
Wage/Salaries,33240,Male,45,2
Enterpreneurial Activities,2050,Male,37,0
Other sources of Income,0,Male,54,0
Other sources of Income,2820,Female,67,0
Wage/Salaries,0,Male,58,2
Enterpreneurial Activities,0,Male,47,2
Other sources of Income,0,Male,84,0
Other sources of Income,340,Male,66,2
Wage/Salaries,0,Male,69,2
Wage/Salaries,880,Male,45,4
Wage/Salaries,0,Male,55,2
Wage/Salaries,960,Male,40,3
Other sources of Income,68500,Male,66,0
Wage/Salaries,0,Female,53,3
Wage/Salaries,0,Male,34,1
Wage/Salaries,1640,Male,33,1
Wage/Salaries,0,Male,53,3
Wage/Salaries,585,Female,77,1
Other sources of Income,27430,Female,46,0
Other sources of Income,245,Male,57,2
Wage/Salaries,420,Male,55,4
Other sources of Income,655,Female,76,0
Other sources of Income,575,Male,56,1
Other sources of Income,1640,Male,32,1
Wage/Salaries,210,Male,65,2
Enterpreneurial Activities,0,Female,70,1
Other sources of Income,0,Male,53,1
Wage/Salaries,270,Male,57,2
Wage/Salaries,335,Male,60,5
Other sources of Income,450,Female,70,0
Wage/Salaries,0,Male,48,3
Wage/Salaries,1000,Male,43,3
Other sources of Income,290,Female,30,1
Other sources of Income,0,Female,93,0
Other sources of Income,350,Male,42,2
Wage/Salaries,130,Male,52,2
Enterpreneurial Activities,680,Male,38,1
Other sources of Income,1225,Female,75,2
Wage/Salaries,555,Male,48,3
Enterpreneurial Activities,0,Male,66,1
Wage/Salaries,300,Male,37,1
Wage/Salaries,480,Male,51,1
Wage/Salaries,0,Female,64,2
Wage/Salaries,710,Male,36,1
Wage/Salaries,695,Male,44,3
Wage/Salaries,600,Male,50,3
Enterpreneurial Activities,16695,Male,58,2
Other sources of Income,0,Male,45,0
Wage/Salaries,1520,Male,54,2
Enterpreneurial Activities,0,Male,54,1
Wage/Salaries,550,Female,51,2
Other sources of Income,1450,Female,73,0
Wage/Salaries,1345,Male,64,2
Enterpreneurial Activities,9710,Male,53,0
Other sources of Income,0,Male,79,0
Other sources of Income,0,Female,69,0
Wage/Salaries,8950,Male,52,1
Enterpreneurial Activities,37500,Female,59,0
Other sources of Income,7300,Male,60,3
Wage/Salaries,1800,Male,35,2
Wage/Salaries,0,Male,52,4
Wage/Salaries,0,Male,74,4
Other sources of Income,0,Male,60,3
Enterpreneurial Activities,29240,Male,51,2
Wage/Salaries,3010,Male,49,1
Enterpreneurial Activities,3634,Male,51,0
Enterpreneurial Activities,1284,Male,40,0
Wage/Salaries,8900,Male,39,0
Wage/Salaries,1660,Female,36,1
Enterpreneurial Activities,12450,Male,52,0
Enterpreneurial Activities,2268,Male,42,0
Wage/Salaries,1728,Male,38,1
Enterpreneurial Activities,50,Male,31,0
Enterpreneurial Activities,3410,Male,41,0
Enterpreneurial Activities,0,Female,53,0
Enterpreneurial Activities,2430,Female,62,0
Enterpreneurial Activities,330,Male,67,0
Enterpreneurial Activities,1122,Male,42,0
Enterpreneurial Activities,800,Male,81,0
Enterpreneurial Activities,1746,Male,42,0
Enterpreneurial Activities,2530,Male,50,0
Enterpreneurial Activities,738,Male,37,0
Enterpreneurial Activities,859,Male,35,0
Enterpreneurial Activities,1518,Male,38,0
Enterpreneurial Activities,854,Male,49,1
Enterpreneurial Activities,4020,Male,65,0
Wage/Salaries,5050,Male,48,1
Enterpreneurial Activities,2050,Male,52,3
Wage/Salaries,2425,Male,63,1
Wage/Salaries,0,Female,48,4
Enterpreneurial Activities,600,Male,36,0
Enterpreneurial Activities,15850,Male,53,4
Enterpreneurial Activities,800,Male,39,0
Enterpreneurial Activities,3640,Male,34,0
Enterpreneurial Activities,750,Male,37,0
Wage/Salaries,28500,Male,61,4
Wage/Salaries,1334,Male,51,1
Enterpreneurial Activities,2170,Male,53,0
Enterpreneurial Activities,558,Male,21,0
Enterpreneurial Activities,1741,Male,44,0
Enterpreneurial Activities,0,Male,61,0
Enterpreneurial Activities,312,Male,64,0
Enterpreneurial Activities,921,Male,43,1
Enterpreneurial Activities,932,Male,37,1
Wage/Salaries,2800,Male,52,1
Wage/Salaries,8530,Male,54,1
Enterpreneurial Activities,0,Female,62,0
Enterpreneurial Activities,2171,Male,51,0
Enterpreneurial Activities,5540,Male,59,0
Enterpreneurial Activities,1499,Male,45,0
Enterpreneurial Activities,0,Male,49,0
Enterpreneurial Activities,0,Male,47,0
Enterpreneurial Activities,0,Male,37,0
Enterpreneurial Activities,0,Male,51,0
Enterpreneurial Activities,0,Male,46,0
Enterpreneurial Activities,0,Male,55,0
Enterpreneurial Activities,0,Male,37,0
Enterpreneurial Activities,10650,Male,56,0
Enterpreneurial Activities,0,Male,51,0
Enterpreneurial Activities,1645,Male,38,0
Enterpreneurial Activities,830,Female,40,0
Enterpreneurial Activities,1300,Male,38,0
Enterpreneurial Activities,0,Male,33,0
Enterpreneurial Activities,690,Male,40,0
Enterpreneurial Activities,600,Male,63,1
Enterpreneurial Activities,250,Male,29,0
Enterpreneurial Activities,9952,Male,44,0
Enterpreneurial Activities,1090,Male,36,0
Enterpreneurial Activities,0,Male,31,0
Enterpreneurial Activities,0,Male,69,0
Wage/Salaries,1790,Male,43,2
Wage/Salaries,3520,Male,48,1
Wage/Salaries,1835,Male,34,2
Other sources of Income,0,Male,60,0
Other sources of Income,0,Male,63,1
Enterpreneurial Activities,220,Male,48,0
Enterpreneurial Activities,1050,Male,53,0
Enterpreneurial Activities,250,Male,39,0
Enterpreneurial Activities,0,Male,72,0
Enterpreneurial Activities,250,Male,30,0
Enterpreneurial Activities,3600,Female,65,0
Enterpreneurial Activities,1710,Male,50,0
Enterpreneurial Activities,3700,Male,55,0
Enterpreneurial Activities,4000,Female,89,0
Enterpreneurial Activities,5700,Male,46,0
Enterpreneurial Activities,500,Male,45,0
Enterpreneurial Activities,990,Male,40,0
Enterpreneurial Activities,150,Male,37,0
Enterpreneurial Activities,0,Female,65,0
Enterpreneurial Activities,350,Male,36,0
Enterpreneurial Activities,0,Male,45,0
Other sources of Income,1450,Female,50,0
Enterpreneurial Activities,780,Male,88,0
Enterpreneurial Activities,1900,Female,68,1
Enterpreneurial Activities,300,Male,40,0
Enterpreneurial Activities,60,Male,32,0
Enterpreneurial Activities,390,Male,30,0
Enterpreneurial Activities,890,Male,38,0
Enterpreneurial Activities,240,Male,40,0
Enterpreneurial Activities,260,Male,37,0
Enterpreneurial Activities,500,Male,48,0
Enterpreneurial Activities,1395,Male,40,0
Wage/Salaries,2950,Male,55,2
Enterpreneurial Activities,1462,Male,57,0
Enterpreneurial Activities,1258,Male,49,0
Enterpreneurial Activities,1418,Male,57,0
Enterpreneurial Activities,5376,Male,41,0
Enterpreneurial Activities,7912,Male,42,0
Enterpreneurial Activities,2818,Male,29,0
Enterpreneurial Activities,2080,Male,36,0
Enterpreneurial Activities,4570,Male,39,0
Enterpreneurial Activities,1080,Male,54,0
Enterpreneurial Activities,2940,Male,42,1
Enterpreneurial Activities,3386,Male,46,0
Enterpreneurial Activities,1950,Male,42,0
Wage/Salaries,25500,Male,49,2
Other sources of Income,9300,Male,46,1
Other sources of Income,3160,Male,58,3
Wage/Salaries,39500,Male,46,2
Wage/Salaries,25730,Male,53,2
Enterpreneurial Activities,10600,Male,44,1
Other sources of Income,0,Male,63,1
Wage/Salaries,2900,Male,63,5
Wage/Salaries,16030,Male,66,3
Wage/Salaries,800,Male,61,7
Wage/Salaries,13300,Male,50,6
Wage/Salaries,0,Male,60,1
Other sources of Income,16970,Male,49,1
Wage/Salaries,535,Male,41,2
Enterpreneurial Activities,0,Male,56,1
Wage/Salaries,0,Male,67,2
Wage/Salaries,16115,Male,50,2
Wage/Salaries,0,Male,68,2
Other sources of Income,0,Female,66,0
Wage/Salaries,0,Male,54,1
Wage/Salaries,285,Female,55,3
Wage/Salaries,0,Male,57,0
Wage/Salaries,3300,Male,54,0
Other sources of Income,0,Male,51,0
Wage/Salaries,0,Male,24,1
Enterpreneurial Activities,0,Female,65,1
Wage/Salaries,49300,Male,61,2
Other sources of Income,0,Female,74,0
Other sources of Income,14000,Male,74,0
Other sources of Income,67000,Female,37,1
Wage/Salaries,0,Male,59,1
Wage/Salaries,4800,Male,36,1
Enterpreneurial Activities,0,Male,45,0
Wage/Salaries,0,Male,22,2
Other sources of Income,2400,Female,41,0
Enterpreneurial Activities,29920,Female,55,0
Enterpreneurial Activities,34080,Female,43,1
Other sources of Income,0,Female,77,0
Other sources of Income,17500,Male,51,2
Wage/Salaries,6258,Female,52,1
Wage/Salaries,700,Female,46,1
Wage/Salaries,770,Male,57,4
Other sources of Income,10971,Male,53,2
Other sources of Income,0,Male,68,0
Wage/Salaries,719,Male,35,1
Enterpreneurial Activities,0,Female,63,0
Other sources of Income,0,Male,46,1
Other sources of Income,37500,Male,67,1
Wage/Salaries,33501,Male,52,3
Wage/Salaries,5210,Male,40,3
Other sources of Income,5000,Male,64,0
Wage/Salaries,0,Male,53,2
Wage/Salaries,31678,Male,58,6
Wage/Salaries,0,Male,25,2
Wage/Salaries,1670,Male,47,5
Wage/Salaries,9040,Male,48,4
Enterpreneurial Activities,49200,Male,50,0
Other sources of Income,9400,Female,76,0
Wage/Salaries,6400,Female,16,1
Other sources of Income,2830,Male,59,0
Wage/Salaries,22740,Female,40,2
Wage/Salaries,42910,Male,40,1
Other sources of Income,72780,Female,42,0
Wage/Salaries,0,Male,37,1
Other sources of Income,396000,Female,48,2
Enterpreneurial Activities,6720,Male,38,1
Wage/Salaries,0,Male,63,3
Other sources of Income,0,Male,68,0
Other sources of Income,2610,Female,65,0
Other sources of Income,3760,Female,63,0
Other sources of Income,0,Male,65,1
Wage/Salaries,0,Male,48,1
Other sources of Income,0,Male,64,2
Other sources of Income,4520,Female,36,1
Other sources of Income,35950,Male,44,0
Wage/Salaries,32340,Male,44,2
Other sources of Income,40222,Male,48,0
Other sources of Income,33378,Male,44,1
Other sources of Income,0,Male,72,1
Other sources of Income,0,Female,66,0
Wage/Salaries,0,Male,50,4
Wage/Salaries,12369,Male,54,3
Wage/Salaries,0,Female,66,1
Other sources of Income,0,Male,74,0
Other sources of Income,0,Female,67,0
Other sources of Income,33000,Male,20,1
Enterpreneurial Activities,9950,Female,52,0
Wage/Salaries,9020,Male,47,3
Other sources of Income,3880,Male,43,1
Other sources of Income,13240,Female,38,1
Other sources of Income,2795,Male,80,1
Other sources of Income,0,Male,79,0
Wage/Salaries,37000,Female,55,1
Wage/Salaries,21100,Male,76,2
Other sources of Income,11850,Male,20,1
Other sources of Income,400,Female,77,1
Enterpreneurial Activities,410,Male,32,1
Wage/Salaries,9470,Male,53,2
Other sources of Income,35380,Male,38,1
Wage/Salaries,0,Male,58,2
Wage/Salaries,16215,Male,53,3
Other sources of Income,0,Male,64,0
Wage/Salaries,14200,Male,52,1
Other sources of Income,750,Male,76,0
Wage/Salaries,2635,Male,38,1
Other sources of Income,21215,Male,65,0
Enterpreneurial Activities,10557,Male,36,0
Wage/Salaries,2562,Male,54,2
Wage/Salaries,0,Male,51,1
Other sources of Income,0,Female,71,0
Other sources of Income,39340,Male,45,0
Other sources of Income,0,Female,64,0
Wage/Salaries,32695,Male,53,5
Other sources of Income,5200,Female,56,1
Enterpreneurial Activities,7895,Male,39,1
Wage/Salaries,0,Female,79,1
Other sources of Income,0,Female,50,0
Other sources of Income,0,Female,67,0
Wage/Salaries,24240,Male,57,3
Other sources of Income,0,Male,73,0
Wage/Salaries,0,Female,45,2
Other sources of Income,720,Female,64,1
Other sources of Income,510,Female,64,1
Wage/Salaries,3650,Female,60,2
Other sources of Income,0,Male,63,0
Wage/Salaries,0,Female,55,1
Other sources of Income,11730,Female,68,0
Wage/Salaries,50295,Male,58,4
Wage/Salaries,300,Male,49,3
Other sources of Income,27720,Female,31,1
Enterpreneurial Activities,23760,Male,70,2
Other sources of Income,0,Male,75,1
Wage/Salaries,22900,Female,64,2
Wage/Salaries,2340,Male,56,3
Other sources of Income,81360,Female,40,0
Other sources of Income,0,Male,47,0
Other sources of Income,0,Male,50,2
Wage/Salaries,32610,Male,40,2
Other sources of Income,17800,Male,38,0
Other sources of Income,870,Male,49,1
Enterpreneurial Activities,0,Male,44,0
Other sources of Income,0,Female,59,0
Other sources of Income,44260,Male,42,0
Other sources of Income,175,Male,28,1
Other sources of Income,0,Male,68,0
Enterpreneurial Activities,1640,Male,62,2
Other sources of Income,19765,Female,60,0
Wage/Salaries,3460,Male,48,3
Enterpreneurial Activities,22550,Male,51,1
Other sources of Income,1010,Male,79,0
Wage/Salaries,1880,Female,64,1
Enterpreneurial Activities,0,Male,59,0
Other sources of Income,0,Male,55,1
Enterpreneurial Activities,1540,Male,57,0
Other sources of Income,2140,Male,52,2
Wage/Salaries,28620,Male,46,2
Other sources of Income,24710,Male,65,1
Other sources of Income,8532,Female,31,0
Enterpreneurial Activities,850,Male,69,1
Wage/Salaries,2690,Female,55,2
Wage/Salaries,15795,Female,80,2
Wage/Salaries,5000,Male,36,2
Wage/Salaries,7080,Male,38,2
Wage/Salaries,1190,Male,37,1
Wage/Salaries,0,Male,53,3
Wage/Salaries,0,Female,80,3
Other sources of Income,0,Male,86,0
Wage/Salaries,1870,Male,32,1
Wage/Salaries,11480,Male,48,1
Wage/Salaries,0,Male,34,1
Enterpreneurial Activities,0,Male,80,0
Wage/Salaries,0,Male,66,3
Enterpreneurial Activities,0,Male,42,1
Wage/Salaries,0,Male,66,2
Enterpreneurial Activities,0,Male,69,0
Other sources of Income,800,Male,65,0
Other sources of Income,0,Male,75,0
Wage/Salaries,2750,Male,65,5
Enterpreneurial Activities,0,Male,57,0
Enterpreneurial Activities,3050,Male,37,0
Wage/Salaries,790,Male,40,2
Wage/Salaries,6069,Male,38,1
Other sources of Income,33141,Male,60,0
Wage/Salaries,1176,Male,33,2
Wage/Salaries,3590,Female,67,1
Wage/Salaries,10800,Female,45,3
Wage/Salaries,0,Male,68,1
Wage/Salaries,2757,Male,38,1
Other sources of Income,1430,Female,39,1
Wage/Salaries,44520,Male,76,2
Wage/Salaries,1586,Male,67,2
Wage/Salaries,6310,Female,68,2
Other sources of Income,5858,Male,45,0
Wage/Salaries,17600,Male,56,1
Wage/Salaries,6200,Male,66,1
Wage/Salaries,37850,Male,46,2
Enterpreneurial Activities,14047,Male,46,0
Other sources of Income,18260,Male,46,0
Wage/Salaries,440,Male,40,1
Other sources of Income,0,Female,57,1
Wage/Salaries,1230,Female,61,1
Wage/Salaries,1085,Male,45,2
Wage/Salaries,180,Male,32,1
Other sources of Income,0,Female,66,0
Enterpreneurial Activities,0,Male,42,1
Enterpreneurial Activities,0,Female,64,0
Other sources of Income,25150,Female,41,1
Other sources of Income,0,Female,70,1
Other sources of Income,15210,Female,57,1
Wage/Salaries,16010,Male,56,2
Wage/Salaries,750,Male,37,1
Wage/Salaries,19320,Male,46,2
Enterpreneurial Activities,4030,Male,57,1
Wage/Salaries,980,Male,45,1
Wage/Salaries,2570,Female,42,1
Wage/Salaries,18200,Male,41,2
Wage/Salaries,870,Male,66,1
Wage/Salaries,0,Male,43,3
Wage/Salaries,41166,Male,45,2
Other sources of Income,100,Male,59,0
Wage/Salaries,1044,Male,35,2
Wage/Salaries,13320,Female,51,3
Other sources of Income,0,Male,77,0
Wage/Salaries,400,Male,74,1
